"Canonical_Employer_Key","Employer_Display_Name","Canonical_Industry","Record_Count","Original_Name_Count","Original_Key_Count","Original_Industry_Count","Original_Names","Original_Keys","Original_Industries"
"WALT DISNEY","The Walt Disney Company","Movies, TV, Music, Gaming","23","1","1","1","The Walt Disney Company","THE WALT DISNEY","Movies, TV, Music, Gaming"
"ATRICURE","AtriCure","Medical Devices","22","1","1","1","AtriCure","ATRICURE","Medical Devices"
"CINCINNATI BELL","Cincinnati Bell","Telecommunications","22","1","1","1","Cincinnati Bell","CINCINNATI BELL","Telecommunications"
"EMCOR FACILITIES SERVICES","EMCOR Facilities Services","Engineering & Construction","22","1","1","2","EMCOR Facilities Services","EMCOR FACILITIES SERVICES","Engineering & Construction | Other Industries"
"LENDKEY","LendKey","Commercial Banking & Credit","22","1","1","1","LendKey","LENDKEY","Commercial Banking & Credit"
"AL NEYER","Al. Neyer","Construction","21","1","1","1","Al. Neyer","AL NEYER","Construction"
"YOUNG ENTREPRENEURS ACROSS AMERICA","Young Entrepreneurs Across America","Management Consulting","21","1","1","1","Young Entrepreneurs Across America","YOUNG ENTREPRENEURS ACROSS AMERICA","Management Consulting"
"CONVERGENCE RESEARCH","Convergence Research","Internet & Software","20","1","1","1","Convergence Research","CONVERGENCE RESEARCH","Internet & Software"
"ENERFAB","Enerfab","Construction","20","1","1","1","Enerfab","ENERFAB","Construction"
"FESTO","Festo Corporation","Manufacturing","20","2","1","2","FESTO | Festo Corporation","FESTO","Manufacturing | Scientific and Technical Consulting"
"FORWARD EDGE","Forward Edge","Computer Networking","20","1","1","1","Forward Edge","FORWARD EDGE","Computer Networking"
"TIRE DISCOUNTERS","Tire Discounters","Retail Stores","20","1","1","1","Tire Discounters","TIRE DISCOUNTERS","Retail Stores"
"UNIVERSITY OF CINCINNATI CARL H LINDNER COLLEGE OF BUSINESS","University of Cincinnati - Carl H. Lindner College of Business","Higher Education","20","1","1","1","University of Cincinnati - Carl H. Lindner College of Business","UNIVERSITY OF CINCINNATI  CARL H LINDNER COLLEGE OF BUSINESS","Higher Education"
"BOSCH AUTOMOTIVE STEERING","Bosch Automotive Steering","Automotive","19","1","1","1","Bosch Automotive Steering","BOSCH AUTOMOTIVE STEERING","Automotive"
"BRIDGE LOGISTICS","Bridge Logistics Inc","Transportation & Logistics","19","1","1","1","Bridge Logistics Inc","BRIDGE LOGISTICS","Transportation & Logistics"
"CINCINNATI SPORTS CLUB","Cincinnati Sports Club","Sports & Leisure","19","1","1","1","Cincinnati Sports Club","CINCINNATI SPORTS CLUB","Sports & Leisure"
"EDUCATION AT WORK","Education at Work","Non-Profit - Other","19","1","1","1","Education at Work","EDUCATION AT WORK","Non-Profit - Other"
"INTUIT","Intuit","Internet & Software","19","2","1","1","Intuit | Intuit, Inc","INTUIT","Internet & Software"
"JUST CANDY","Just Candy","Other Industries","19","1","1","1","Just Candy","JUST CANDY","Other Industries"
"LIBERTY MUTUAL INSURANCE","Liberty Mutual Insurance","Insurance","19","1","1","1","Liberty Mutual Insurance","LIBERTY MUTUAL INSURANCE","Insurance"
"LUXOTTICA GROUP","Luxottica Group","Retail Stores","19","1","1","1","Luxottica Group","LUXOTTICA GROUP","Retail Stores"
"MACYS","Macy's","Retail Stores","19","3","1","1","Macys | Macy's | Macy's, Inc","MACYS","Retail Stores"
"PNC FINANCIAL SERVICES","PNC Financial Services","Financial Services","19","1","1","1","PNC Financial Services","PNC FINANCIAL SERVICES","Financial Services"
"SIEMENS","Siemens","Other Industries","19","1","1","1","Siemens","SIEMENS","Other Industries"
"MOTZ GROUP","The Motz Group","Construction","19","1","1","1","The Motz Group","THE MOTZ GROUP","Construction"
"WESTERN AND SOUTHERN LIFE","Western and Southern Life","Financial Services","19","1","1","1","Western and Southern Life","WESTERN AND SOUTHERN LIFE","Financial Services"
"AMAZON","Amazon","Internet & Software","18","1","1","2","Amazon","AMAZON","Information Technology | Internet & Software"
"CUMMINS","Cummins Inc","Manufacturing","18","2","1","1","Cummins | Cummins Inc","CUMMINS","Manufacturing"
"FC CINCINNATI","FC Cincinnati","Sports & Leisure","18","1","1","2","FC Cincinnati","FC CINCINNATI","Commercial Banking & Credit | Sports & Leisure"
"JPMORGAN CHASE AND","JPMorgan Chase & Co","Financial Services","18","1","1","1","JPMorgan Chase & Co","JPMORGAN CHASE AND","Financial Services"
"UNIVERSITY OF CINCINNATI ATHLETICS","University of Cincinnati - Athletics","Sports & Leisure","18","1","1","1","University of Cincinnati - Athletics","UNIVERSITY OF CINCINNATI  ATHLETICS","Sports & Leisure"
